127.0.0.1 - - [20/Jul/2020:09:28:11 +0200] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/script_perso.js.xhtml?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/resources/images/basket.webp HTTP/1.1" 200 9810
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/resources/photo/trapet.png HTTP/1.1" 200 69011
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:23 +0200] "POST /Projet_cave/show_single_bottle.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:24 +0200] "GET /Projet_cave/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:26 +0200] "POST /Projet_cave/show_single_bottle.xhtml HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/index.xhtml HTTP/1.1" 200 33186
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/css/bsf.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/js/dropdown.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/js/bsf.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/script_perso.js.xhtml?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/style_perso.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/resources/photo/margaux.png HTTP/1.1" 200 81300
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:27 +0200] "GET /Projet_cave/javax.faces.resource/js/collapse.js.xhtml?ln=bsf HTTP/1.1" 304 -
